Date,Username,URL,Hashtags,Rendered_Content,Out_Links,Users_Mentioned,Media,Coordinates,Place,Source_URL,Source_Label,Retweeted_Tweet,Quoted_Tweet,Replies,Retweets,Likes,Quotes
6/6/2011 8:55:17 AM,SBTS,https://twitter.com/SBTS/status/77720213797339137,,In The Briefing @albertmohler discusses kids only a memory; darkness too visible; Europe lost faith in its civilization. http://ow.ly/5aUrW,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
6/3/2011 9:43:04 AM,SBTS,https://twitter.com/SBTS/status/76645074938765313,,In The Briefing @albertmohler discusses E. Coli strain spreads in Germany; 10 & sold to a brothel; Mladic video; & more. http://ow.ly/59nE5,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
6/2/2011 8:47:13 AM,SBTS,https://twitter.com/SBTS/status/76268633764016128,,In The Briefing @albertmohler discusses cellphones carcinogenic; Iraqi refugees in KY w/ terrorism charges; AIDS; & more. http://ow.ly/58qR8,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
6/1/2011 9:03:05 AM,SBTS,https://twitter.com/SBTS/status/75910235117727744,,In The Briefing @albertmohler discusses climate; weather deaths; Jim Tressel; Egypt's Christians fear violence; & more. http://ow.ly/57xpx,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
5/31/2011 9:00:48 AM,SBTS,https://twitter.com/SBTS/status/75547276231184384,,In The Briefing @albertmohler discusses Mladic to face war crimes trial; Iran to unplug Internet; IMF ethics; & more. http://ow.ly/56z3K,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
5/27/2011 8:57:30 AM,SBTS,https://twitter.com/SBTS/status/74096890895020032,,In The Briefing @albertmohler discusses storm shelters; religion & sex quiz; married couples no longer majority; & more. http://ow.ly/54nsP,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
5/26/2011 8:57:51 AM,SBTS,https://twitter.com/SBTS/status/73734592066097152,,In The Briefing @albertmohler discusses suspect in Giffords shooting; Edwards affair; murder trial for Mubarak; & more. http://ow.ly/53tQx,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
5/25/2011 8:53:35 AM,SBTS,https://twitter.com/SBTS/status/73371131565977600,,In The Briefing @albertmohler discusses Joplin’s tornado; CA prisoner population; abortion rates; fetus death; and more. http://ow.ly/52zn6,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
5/24/2011 9:02:49 AM,SBTS,https://twitter.com/SBTS/status/73011066170384385,,In The Briefing @albertmohler discusses tornado hits MO; gay ministers in Scotland; gay-marriage ban vote in MN; & more. http://ow.ly/51zIF,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
5/23/2011 8:50:26 AM,SBTS,https://twitter.com/SBTS/status/72645561836240896,,In The Briefing @albertmohler discusses reactions to unfulfilled doomsday; Strauss-Kahn; & year of living adulterously. http://ow.ly/50EGW,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
5/20/2011 5:11:02 PM,SBTS,https://twitter.com/SBTS/status/71684377234509824,,Towers: Mohler tells SBTS graduates they are not professionals but heralds http://bit.ly/kgTUU8,,[],,,,http://www.sbts.edu,SBTS TwitTools Crutch,,,0,0,1,0
5/20/2011 8:56:18 AM,SBTS,https://twitter.com/SBTS/status/71559875347480577,,In The Briefing @albertmohler discusses President on Middle East & North Africa; jailed IMF chief; unmarried rate; & more.http://ow.ly/4Z4VN,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
5/18/2011 8:55:06 AM,SBTS,https://twitter.com/SBTS/status/70834798603665408,,In The Briefing @albertmohler discusses code of silence; Schwarzenegger's child with employee; Mubarak & Egypt; & more. http://ow.ly/4Xgr2,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
5/17/2011 9:01:46 AM,SBTS,https://twitter.com/SBTS/status/70474089306931200,,In The Briefing @albertmohler discusses Endeavour's final flight; Stephen Hawking says no heaven; Huckabee; & more. http://ow.ly/4WnrK,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
5/16/2011 8:57:31 AM,SBTS,https://twitter.com/SBTS/status/70110630870384641,,In The Briefing @albertmohler discusses record pace for high-cost weather disasters; Bin Laden & pornography; & more. http://ow.ly/4Vq4Z,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
5/13/2011 9:01:07 AM,SBTS,https://twitter.com/SBTS/status/69024373297774592,,In The Briefing @albertmohler discusses flooded river flowing south; Demjanjuk conviction & Nazi death camp; & more. http://ow.ly/4TOHV,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
5/11/2011 9:11:13 AM,SBTS,https://twitter.com/SBTS/status/68302139126059009,,In The Briefing @albertmohler discusses Greek woes fuel fears; The Missing Fifth; plans to stop mass murder; & more. http://ow.ly/4S1FQ,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
5/10/2011 9:14:15 AM,SBTS,https://twitter.com/SBTS/status/67940516167290880,,In The Briefing @albertmohler discusses Christians in Egypt; tornadoes; killing marriages; & hating mom http://ow.ly/4R80r,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,1,0
5/9/2011 8:49:36 AM,SBTS,https://twitter.com/SBTS/status/67571923852333056,,In The Briefing @albertmohler discusses videos from Bin Laden’s hide-out; support in Pakistan; London bombings; & more. http://ow.ly/4QcwS,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
5/6/2011 8:50:53 AM,SBTS,https://twitter.com/SBTS/status/66485081216266240,,In The Briefing @albertmohler discusses Republican debate no-shows; Canadian leader celebrates victory; Einstein; & more. http://ow.ly/4OCdx,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
5/5/2011 10:52:31 AM,SBTS,https://twitter.com/SBTS/status/66153302760501249,,In The Briefing @albertmohler discusses death conspiracies; a Turkish leader on Qaddafi; CBS' new anchor; & more http://ow.ly/4NTMC,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,1,0
5/4/2011 9:07:21 AM,SBTS,https://twitter.com/SBTS/status/65764451227414528,,In The Briefing @albertmohler discusses bin Laden; boy set off Afghan blast near border; death toll from storms; & more. http://ow.ly/4MSOf,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
5/2/2011 8:43:11 AM,SBTS,https://twitter.com/SBTS/status/65033593071734784,,In The Briefing @albertmohler discusses Obama’s remarks on Bin Laden’s killing. http://ow.ly/4L4Jn,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,3,1,0
